id_empresa,nome_empresa
350,SG Comércio Exterior
18240,Casa do Adubo
24948,Agri Participações
23416,Cencosud
1252,Suécia Veículos
6486,Portuense
22096,Lojas Quero Quero
17315,COOP - Cooperativa de Consumo
1751,Savixx Trading
4229,Diniz Participações
18135,Cooxupé
23081,Timbro Comércio Exterior
17540,Terranuts
22528,Natural One Holding de Participações
110,Pampeiro
3371,Unilider
8665,Brazil American Auto Group
24783,Recreio Motos
4121,Sajuthá-Rio Participações
24891,Agro Seeds
21574,Natura Holding
8230,Total Teófilo Otoni Automóveis
1250,Meincol
20384,Grupo Vellore
8275,Centauro
19163,Agro Trends Participações
10823,Rech Tratores
24991,Safepill Home Care
18144,Lenovo
3037,Casa Hirata
19310,Solfarma Comércio de Produtos Farmacêuticos
7981,Intercroma
22660,Cerealista Nova Safra
15931,Memora Processos Inovadores
18952,Casas das Correntes
4346,CRBS
16290,Melora do Brasil Produtos Dermatológicos
5077,SLC Participações
14568,Forno de Minas
3214,Sertrading
7288,3 Tentos Agroindustrial
24876,C&C Casa e Construção
6670,Via Sul
3459,Fujioka
14715,Dental Speed
2208,Miriam Mercedes-Benz Brasil
575,Pemaza Centro Norte
5667,Unicafé
6406,AMER
18652,Refrigelo Climatização de Ambientes
6485,Panvel
13630,RTS Rio
7981,Interbrasil
1780,Minasmáquinas
1626,Pemaza Peças e Pneus
14366,Total Distribuidora
9574,Uniaves
22451,Dana Cosméticos
5801,Noble Brasil
19707,Hoff
1454,South Service
22215,Compre Bem
14366,Petronac Combustíveis
17119,Terras de Aventura Indústria de Artigos Esportivos
406,Brasilmad Exportadora
2268,Avivar
24584,Copagri
20815,Bigsal
16539,Araujo Drogaria Drugstore
15198,Allied Tecnologia
21051,BioHosp
4056,Cacique
14341,Mafra Hospitalar
1031,Rodomac Tratores Peças e Implementos
4684,Digigraf
7320,Itaguaçu Comércio e Participações
9062,Supermercados Cidade Canção
23081,Timbro Trading
3755,Armazens Martins
18195,Fortbras Participações
6361,C&V RJ
3613,Eurokraft
8326,JFLOG Participações
1495,Sadive Distribuidora de Veículos
22349,D1000
9209,SGA Niterói Veículos e Peças
7935,Biopalma
3376,Bristol-Myers Squibb
6839,RM - Rede Moura Participações
655,Ibasa
5806,Almart Administração
8214,Alere
7288,3tentos
11492,Broto Legal
22096,Quero-Quero
2676,Columbia Trading
4834,Tecnomotor Distribuidora
22506,Havan
2117,Disal
24692,Eletrozema
