nome_empresa,data_fechamento,Aplicações financeiras,Ativo circulante,Ativo não circulante,Ativo total,Caixa e equivalentes de caixa,Caixa líquido das atividades de financiamento,Caixa líquido das atividades de investimento,Caixa líquido das atividades operacionais,Custo de bens e/ou serviços vendidos,Despesas/Receitas operacionais,Lucro/Prejuízo do período,Passivo circulante,Passivo não circulante,Patrimônio líquido,Receita líquida de vendas e/ou serviços,Resultado antes do resultado financeiro e dos tributos
Eurobike,2021-12-31,5021000,63965000,136581000,200546000,1370000,-29354000,-12138000,40830000,-632136000,-55647000,46979000,83751000,52291000,64504000,758713000,70930000
Simpala Veículos,2022-12-31,0,26462000,38458000,64920000,506000,-29234000,9791000,1319000,-98631000,-46719000,15917000,6438000,29175000,29307000,166343000,20993000
Luiz Tonin Atacadista,2020-12-31,0,153785438,251385137,405170575,8513596,-17989567,-6569613,27836927,-760912213,-156405704,4004609,117839619,234935583,52395373,928057942,10740025
Minasmáquinas,2023-12-31,0,429545000,98065000,527610000,37402000,-33328000,-18732000,43449000,-917446000,-37185000,28092000,264983000,5636000,256991000,996776000,42145000
J.S. Auto Peças,2023-12-31,0,155099196,3128917,158228113,6771275,-1127428,-502001,6779775,-296197378,-99463219,12916515,73863786,16152208,68212119,419669280,24008683
MD Medical Doctor,2020-12-31,0,319380000,111527000,430907000,39983000,-228085000,-130000,211251000,-286122000,-70547000,92771000,178466000,53060000,199381000,486812000,130143000
Hospfar,2022-12-31,0,170757000,98111000,268868000,3673000,-5142000,487000,5502000,-262319000,-36592000,4430000,121913000,67120000,79835000,318609000,19698000
São Eutiquiano Participações,2020-12-31,0,566858000,723452000,1290310000,181846000,-56958000,-146038000,249283000,-638642000,-14868000,186640000,277655000,510446000,502209000,944106000,290596000
Saga Brasil Administração e Participações,2023-12-31,147101000,1566769000,475400000,2042169000,68636000,-84178000,-66170000,167297000,-7623721000,-620094000,210974000,885590000,240795000,915784000,8538032000,294217000
Quimetal,2021-12-31,0,63515928,47166415,110682343,30809906,1414443,211308,-4804663,-107330808,-2592808,6727860,26251302,51985410,32445631,116387625,6464009
Lojas Colombo,2020-12-31,0,1265759000,612424000,1878183000,213974000,229125000,-32720000,-5049000,-984209000,-308051000,231688000,650914000,685364000,541905000,1489212000,196952000
Humberg Agribrasil Bioenergia,2021-12-31,0,915304000,48878000,964182000,280230000,414387000,-872000,-237858000,-2139236000,-18887000,9121000,786393000,150150000,27639000,2184137000,26014000
Simex Siqueira Importação e Exportação,2021-12-31,0,1459863,2424858,3884721,99893,0,0,-739,0,-322555,-212883,1843777,1707797,333147,109961,-212594
APB Automação,2020-12-31,0,51982798,54348385,106331183,11862393,2349066,94376,-2567963,-69167908,-16126884,-1793833,27940267,23619339,54771577,86153519,858727
Agrícola Alvorada,2023-12-31,600000,2755784000,801360000,3557144000,914642000,-576729000,-247915000,801507000,-8465172000,-110939000,5283000,2182900000,958821000,415423000,8701722000,125611000
Grazziotin,2021-12-31,0,528449000,556275000,1084724000,35429000,-45121000,-45295000,-40629000,-285826000,-147703000,174776000,222391000,114598000,747735000,613658000,180129000
Hortus Comércio de Alimentos,2021-12-31,8671000,193141000,362707000,555848000,48554000,20158000,-60923000,23901000,-566358000,-269621000,-733000,348510000,371211000,-163873000,902752000,66773000
BRFértil,2021-12-31,0,767198000,60007000,827205000,122744000,80678000,-19769000,-25748000,-1200512000,-53758000,172648000,634972000,26576000,165657000,1526565000,272295000
South Service,2022-12-31,21380384,599833892,48611944,648445837,57256702,52679623,-24071462,-19344804,-1016483952,-38634471,26020346,493708232,45738552,108999053,1107744262,52625839
JoãoMed,2021-12-31,0,22907000,8910000,31817000,2944000,-1061000,-3887000,1445000,-29999000,-10621000,959000,5392000,0,26425000,41728000,1108000
Forcecar Automotive,2023-12-31,0,8329046,1431846,9760892,91908,2712196,-9263,-2784834,-9010134,-2575196,-4046089,2620551,6752492,387849,8096007,-3489323
Santa Vitória Empreendimentos e Participações,2023-12-31,0,644130000,284974000,929104000,97122000,-66738000,-13409000,100179000,-502637000,-120617000,122854000,161320000,59221000,708563000,776833000,153579000
Líder B.H. Veículos,2023-12-31,66379313,192408406,40103413,232511819,3865046,-4793673,-3400520,7299292,-587728957,-77666423,10047826,107129346,58028028,67354445,689575730,24180350
Eskisa,2023-12-31,0,15749922,267542,16017465,2289525,0,-3438827,1407214,-10553319,-6583999,1178100,1809056,74250,14134157,18835638,1698319
Grupo Unetral,2023-12-31,0,2743913,67972664,70716577,118018,2152098,176210,-3619031,0,1014909,1066271,1011452,23358531,46346594,0,1014909
RV Tecnologia e Sistemas,2022-12-31,26501000,286979000,146764000,433743000,9253000,-33033000,21464000,5246000,-172505000,-178025000,-13525000,320076000,132027000,-18360000,356217000,5687000
Cordeiro Cabos Elétricos,2021-12-31,0,500808000,156472000,657280000,104695000,70683000,-6777000,-31629000,-1485703000,-45816000,19032000,315749000,197009000,144522000,1589738000,58219000
Cobasi,2023-12-31,47478000,755357000,1543570000,2298927000,98385000,-68718000,-255458000,310133000,-1454153000,-980864000,58740000,668857000,745289000,884781000,2582827000,147810000
Allfood,2020-12-31,0,31948000,3796000,35744000,2232000,-5239000,-2409000,7592000,-48066000,-20577000,3647000,19133000,1720000,14891000,77799000,9156000
Lojas Marisa,2021-12-31,34452000,1726927000,1625521000,3352448000,261974000,-145524000,-123891000,4457000,-1344361000,-1184955000,-93037000,1441638000,1051805000,859005000,2518386000,-10930000
Recreio Motos,2023-12-31,12410313,55956457,37921611,93878068,3214489,2708634,-14904320,8496740,-314123735,-58195696,23451506,28212086,9416901,56249081,410821401,38501970
Bluequest Resources do Brasil Importação e Exportação,2021-12-31,7522000,744633000,12795000,757428000,82062000,92660000,-7722000,-58048000,-2212452000,-39425000,22929000,688576000,25895000,42957000,2357313000,105436000
Carbel,2021-12-31,0,70979000,33142000,104121000,1939000,-262000,1835000,-9637000,-346169000,-56695000,6813000,34436000,16185000,53500000,414676000,11812000
Distribuidora Curitiba,2020-12-31,0,132015191,44338721,176353912,14864114,-3469750,1124014,8204551,-131024772,-65902421,-957516,86572000,35488526,54293386,197762716,835523
Mafra Hospitalar,2023-12-31,528792000,5974663000,4212030000,10186693000,472702000,505339000,-179570000,-895625000,-9349113000,-1098267000,359916000,3056590000,3840743000,3289360000,11083830000,636450000
Grupo Carrefour Brasil,2020-12-31,0,25413000000,26411000000,51824000000,5672000000,-360000000,-3323000000,4033000000,-57273000000,-9414000000,2844000000,24720000000,10059000000,17045000000,71191000000,4504000000
Companhia Sinosserra,2021-12-31,0,2554304,83428307,85982611,18009,-12024432,13283536,-1257986,0,22979373,22286206,7014435,0,78968176,0,22979373
Supricorp Suprimentos,2021-12-31,0,93278000,44101000,137379000,3196000,-4262000,-8867000,14800000,-256510000,-78886000,2166000,112848000,8962000,15569000,335426000,30000
Ultrapar,2022-12-31,0,323410000,405719000,729129000,37654000,53811000,-28860000,-15898000,-413452000,-109828000,129839000,192235000,70104000,466790000,535650000,12370000
Tramontina Planalto,2020-12-31,0,59462329,44070377,103532706,13477642,-3968657,-535927,14042180,-95137747,-40680667,4199608,57019775,34024818,12488113,141320430,5502016
SOCIC,2023-12-31,0,1108201000,303858000,1412059000,449125000,0,0,0,-143540000,-84414000,46953000,453644000,53211000,905204000,240105000,12151000
A Alves - Indústria e Comércio,2022-12-31,0,57674003,16613964,74287967,3614928,-3012442,-1237750,6396683,-142766656,-15227266,14843984,40218941,8154723,25914303,177729061,19735139
Grupo Carrefour Brasil,2022-12-31,256000000,43014000000,49314000000,92328000000,10835000000,4219000000,-7302000000,6973000000,-83241000000,-14716000000,1998000000,46725000000,23831000000,21772000000,102890000000,4933000000
Super Atacado,2020-12-31,0,11914983,452394,12367377,1085933,0,0,0,-49049886,-2098137,615844,6083241,596017,5688119,52058840,910817
White Solder,2020-12-31,0,167293300,139929755,307223055,18735354,21570323,-91289,-35103851,-305027865,-7619787,-1515553,141793479,126146860,39282716,342825602,30177950
J.L. Braz Participações,2022-12-31,88814243,651468341,510097859,1161566200,52706534,12090252,-47202208,56140984,-2683660605,-328164414,86143898,446531564,150205702,564828934,3162808417,150983398
Synagro Comercial Agrícola,2023-06-30,816000,137124000,35374000,172498000,8037000,-12397000,-6817000,12181000,-296805000,-29186000,-19236000,161510000,1421000,9567000,314701000,-11290000
Coopavel,2023-12-31,0,2848619290,1362268520,4210887811,115361813,0,0,0,-4449857566,-435278084,10711459,2486958837,1033643133,690285839,5200786507,315650857
Ibasa,2022-12-31,0,38249464,6542357,44791821,1236511,178241,-348960,-2906511,-47723991,-33349707,1572951,16843090,2478340,25470391,82896846,1823148
Belagrícola Comércio e Representações de Produtos Agrícolas,2023-12-31,103025000,3142275000,2029056000,5171331000,437667000,-83710000,-47732000,-315104000,-7042081000,-293874000,-39032000,2800538000,1442261000,928532000,7502846000,166891000
Drogaria Rosário,2022-12-31,0,121212702,201419380,322632082,8251838,0,0,0,-318006520,-127124488,6156216,86523692,105796450,130311940,464907675,19776667
Profarma,2021-12-31,0,2582007000,1450887000,4032894000,188517000,-204442000,-86409000,107576000,-5505628000,-776859000,79113000,1716886000,840120000,1475888000,6413199000,130712000
Central Supervarejista,2020-12-31,0,10916446,1215884,12132330,1882385,0,0,0,-34808598,-2164551,1934849,4344753,50667,7736910,39902276,2929127
Caltabiano McLarty Participações,2021-12-31,1311000,189927000,104262000,294189000,32108000,-36198000,-2853000,47637000,-1015806000,-123869000,39791000,145289000,39987000,108913000,1205546000,65871000
Armazens Martins,2020-12-31,0,1847979000,434744000,2282723000,284012000,-105248000,-34248000,264645000,-4202726000,-987505000,233389000,1329703000,328445000,624575000,5452038000,261807000
Total Teófilo Otoni Automóveis,2020-12-31,2847242,7045289,2472613,9517902,617490,-695554,-87931,1189590,-25110732,-3124755,1178143,3923482,788352,4806068,30140233,1904746
Tapajós Participações,2020-12-31,0,2545934,278551074,281097008,8264,0,0,0,0,12188015,-78376445,288963078,47690214,-55556284,0,12188015
Supricorp Suprimentos,2020-12-31,0,97674000,35700000,133374000,1525000,10835000,-13843000,-4015000,-200890000,-59369000,-5089000,85720000,36697000,10957000,258218000,-2041000
Sendas Distribuidora,2023-12-31,0,14616000000,28561000000,43177000000,5459000000,-3291000000,-3055000000,5963000000,-55682000000,-7536000000,710000000,16425000000,22122000000,4630000000,66503000000,3285000000
Cerealista Nova Safra,2020-12-31,0,78100000,26800000,104900000,15172000,-39487000,-1958000,29519000,-278769000,-40515000,24264000,43818000,7570000,53512000,347600000,28316000
Atakadão Atakarejo,2023-12-31,0,1200600000,1395886000,2596486000,439663000,422900000,-122031000,-81359000,-2909626000,-564351000,119321000,921240000,836263000,838983000,3723056000,249079000
Tristão Comércio Exterior,2022-12-31,173426000,974355000,200804000,1175159000,9496000,-48743000,-152005000,202751000,-2258134000,-70890000,134759000,498973000,62710000,613476000,2379337000,50313000
Pertos,2020-12-31,754782000,3337430000,1576800000,4914230000,509717000,-140054000,-629738000,1093003000,-5573250000,-923451000,455690000,2884061000,532363000,1497806000,7189835000,693134000
Marubeni,2021-12-31,0,124115000,27338000,151453000,90632000,-21098000,590000,5906000,-17058000,-34318000,23370000,12534000,16840000,122079000,68127000,16751000
Schadeck,2021-12-31,0,26386000,10554000,36940000,610000,-1586000,-905000,1624000,-55435000,-10779000,5769000,12801000,1104000,23035000,71914000,5700000
Drogarias Pacheco,2022-12-31,0,1483432000,1340919000,2824351000,53752000,-224942000,-170683000,242182000,-2996593000,-997025000,131081000,1300821000,665783000,857747000,4256335000,262717000
Conab,2021-12-31,0,1974713000,1435312000,3410025000,297037000,0,407000,57635000,-150254000,-58820000,-27345000,1885637000,1229598000,294790000,175583000,-33491000
Neoortho,2022-12-31,0,77134007,27388827,104522834,2991873,6242886,-7599521,979681,-36788386,-13730495,10161546,19163936,2907463,82451435,63584764,13065883
Pneustore,2023-12-31,0,1505888000,646776000,2152664000,432531000,798832000,-32595000,-351834000,-1348527000,-444136000,106175000,454542000,775757000,922365000,2004551000,211888000
ARP Med,2022-12-31,0,254761000,47375000,302136000,12960000,-192000,-4577000,15700000,-444997000,-35294000,33921000,177611000,1067000,123458000,527293000,47002000
Extrafruti,2022-12-31,0,74483987,19449259,93933246,17503211,-19625000,-7304290,23084565,-298578972,-81679861,21554092,49492989,12524340,31915917,412138265,31879432
Greenergy Brasil,2023-12-31,0,10995000,2378000,13373000,10954000,0,0,-7685000,-195000,-9946000,2218000,95920000,30873000,-113420000,1769000,-8372000
JCS Brasil,2022-12-31,0,573303000,180410000,753713000,130493000,-118186000,-4878000,113163000,-567971000,-333379000,-780000,260606000,46562000,446545000,866839000,-34511000
TP - Link,2020-12-31,0,333805302,948112,334753414,19960818,-20677588,-474327,35244721,-477517687,-34431259,92532275,203284985,175000,131293429,658719043,146770097
Moageira Irati Cereais,2021-03-31,0,88716000,34333000,123049000,9392000,6229000,-11000,-134000,-198355000,-6828000,4669000,77656000,1916000,43477000,213245000,8062000
Comercial Motociclo,2022-12-31,0,288565763,12716199,301281962,20383801,22836718,5709886,-19287240,-238209818,-63932639,2448920,164873739,57457467,78950756,326226200,24083743
GV Holding,2023-12-31,1192314000,4155195000,3096182000,7251377000,275056000,-301235000,-87700000,285910000,-4161005000,-987009000,508023000,3788541000,2438505000,1024331000,5615807000,467793000
Multitrade,2022-12-31,0,1402000,9468000,10870000,1010000,1011000,0,-6000,0,-78000,37000,18000,0,10852000,0,-78000
Mclarty Maia,2021-12-31,1311000,189927000,104262000,294189000,32108000,-36198000,-2853000,47637000,-1015806000,-123869000,39791000,145289000,39987000,108913000,1205546000,65871000
Abimex Importação e Exportação,2022-12-31,0,837219000,405533000,1242752000,0,0,0,0,-971655000,-272554000,135748000,217936000,390999000,633817000,1382213000,138004000
Marubeni Brasil,2023-12-31,0,98136000,22933000,121069000,48921000,-56639000,1220000,10906000,-14836000,-44341000,18623000,13519000,2030000,105520000,71619000,12442000
Hinove Agrociência,2021-12-31,13028000,193344000,89332000,282676000,18976000,51274000,-48205000,6957000,-253600000,-44486000,33798000,146778000,86347000,49551000,363589000,65503000
Solfarma Comércio de Produtos Farmacêuticos,2020-12-31,0,237560000,6535000,244095000,18040000,-3863000,-910000,3914000,-717663000,-63318000,5575000,176833000,56605000,10657000,807512000,26531000
Recreio B.H.,2021-12-31,0,71039028,57647330,128686358,1211267,-5771467,-194304,5010547,-361972390,-47830655,18235861,42495996,12467433,73722929,435852370,26049325
Companhia Sinosserra,2022-12-31,0,3279852,90017873,93297725,304202,0,-769429,1055622,0,16556333,16650314,3639567,0,89658158,0,16556333
Clarex,2022-12-31,0,3543000,85000,3628000,2961000,-10446000,0,8605000,-158826000,-1682000,8088000,570000,0,3058000,169179000,8671000
Drogasil,2023-12-31,26506000,11561674000,8532738000,20094412000,412321000,-499424000,-1307123000,1785327000,-23766426000,-8126875000,1087143000,8079497000,5986614000,6028301000,33973790000,2080489000
MadeiraMadeira,2021-12-31,18879000,1215016000,538662000,1753678000,664889000,0,0,0,-995861000,-482656000,-142341000,463036000,241520000,1049122000,1347107000,-131410000
Loungerie,2023-12-31,0,112595000,101303000,213898000,5927000,-26123000,-1897000,31683000,-78051000,-139858000,-329000,54220000,31680000,127998000,221738000,3829000
Cebrasa,2023-12-31,0,123939000,67007000,190946000,61868000,-9442000,-29819000,97252000,-320360000,-42746000,46306000,120839000,13315000,56792000,441732000,78626000
Incrível Comércio de Bebidas e Alimentos,2022-12-31,0,39465000,24569000,64034000,0,0,1000,-12258000,-5111000,-3292000,-3799000,15074000,604000,48356000,3027000,-5376000
Casa Hirata,2023-12-31,0,17913573,12839848,30753421,8061627,-677760,-420629,2905046,-55373873,-10560751,1954593,7737557,3622336,19393528,69719838,3785214
Orígeo,2023-12-31,0,1062144000,47612000,1109756000,219389000,608555000,-4543000,-387408000,-929486000,-205926000,-57241000,1008626000,52038000,49092000,1040925000,-94487000
Livrarias Curitiba,2021-12-31,0,133950000,46176000,180126000,20308000,-286000,-1660000,7390000,-136592000,-71424000,-229000,94724000,31338000,54064000,208155000,139000
Distribuidora Titanium Importadora e Exportadora de Auto Peças,2023-12-31,0,7701034,256440,7957474,150217,-257986,-1239,317071,-15162068,-3184457,237425,4159721,186139,3611614,19051537,705012
Extrafruti - Hortifrutigranjeiros,2023-12-31,0,81121243,70173624,151294867,12029154,31033423,-56304819,19797339,-375928745,-104091951,19677097,59393480,54180186,37721201,512344144,32323448
Duferco do Brasil Distribuição,2020-12-31,0,67027273,29807,67057080,43782376,-1505800,0,36176638,-282158590,-5537428,5703970,59233403,29807,7793870,295982542,8286524
Cooxupé,2020-12-31,16219000,5975137747,1262148841,7237286588,777202582,1115231719,-36366675,-905007910,-4474067703,-216232868,291137496,4750820713,918259247,1568206628,5030603223,340302652
BioHosp Produtos Hospitalares,2022-12-31,0,198686000,65306000,263992000,16827000,0,0,0,-447642000,-57520000,23951000,112048000,7180000,144764000,521368000,16206000
Tok & Stok,2021-12-31,0,599838000,1131954000,1731792000,77762000,-35130000,-129401000,99911000,-516748000,-666880000,53785000,560832000,731838000,439122000,1155347000,-28281000
